R1,R2,R3,R4,R5,Fault_DRM
1.063091483,1.102915952,1.908011869,0.087091757,10.41071429,Normal
1.699150425,1.378219611,1.794117647,0.047540984,15.26206897,Normal
1.743429287,1.064607739,2.152907394,0.100036679,9.38968701,Normal
0.407407407,0.37037037,0.045454545,0.01,270,Normal
0.234042553,0.08991009,0.081818182,0.011111111,1001,Normal
0.115257958,2.35483871,3.476190476,0.632876712,0.670995671,Normal
1.056603774,1.097787307,1.904791667,0.089061108,10.22807018,Normal
1.5,1.250208333,1.818484848,0.083319447,9.6,Normal
1.742478219,1.064788533,2.152797704,0.102299234,9.180456026,Normal
0.000185185,0.00125,1,1,800,Normal
0.114160263,2.37254902,3.490384615,0.636363636,0.662337662,Normal
1.059748428,1.09948542,1.902077151,0.087207488,10.4293381,Normal
1.545454545,1.319148936,1.823529412,0.082258065,9.215686275,Normal
0.444506166,0.644444444,0.724818795,0.586206897,2.647058824,Normal
0.114285714,0.177777778,2,0.875,6.428571429,Normal
0.444506166,0.644444444,0.724818795,0.586206897,2.647058824,Normal
0.114285714,0.177777778,2,1,5.625,Normal
1.624593448,0.668421925,0.50597708,0.127164854,11.76473684,Normal
0.444506166,0.644444444,0.724818795,0.586206897,2.647058824,Normal
0.114285714,0.177777778,2,1,5.625,Normal
1.624593448,0.668421925,0.50597708,0.127164854,11.76473684,Normal
0.114285714,0.177777778,2,0.875,6.428571429,Normal
1,0.00019996,0.00049975,9900,0.505151515,Normal
1,0.00019996,0.00049975,9900,0.505151515,Normal
1,0.00019996,0.00049975,9900,0.505151515,Normal
1.764660902,0.517249703,1,0.149995,12.88911111,Normal
1.888839509,0.053944154,1,0.149995588,123.5882353,Normal
1.235294118,0.144827586,1,0.476666667,14.48551449,Normal
1.777691368,0.484864095,1,0.343728517,6.000181818,Normal
1.25125,321,64.13586414,0.014018692,0.222222222,Normal
1.764660902,0.517249703,1,0.149995,12.88911111,Normal
1.888839509,0.053944154,1,0.149995588,123.5882353,Normal
