R1,R2,R5,Fault_Rogers
1.176764706,0.291891892,4.111111111,Normal
1.1875,0.028985507,0.425925926,Normal
0.331229298,0.001666667,0.214285714,Normal
2,0.0025,1.333333333,Normal
0.77,0.000769231,0.928571429,Normal
0.972222222,0.0025,0.068965517,Normal
0.333377775,0.002,0.185185185,Normal
1,0.00019996,0.505151515,Normal
1.266666667,0.034782609,0.428571429,Normal
0.329192547,0.001666667,0.222222222,Normal
4,0.0025,2,Normal
0.834166667,0.000769231,0.866666667,Normal
1.32,0.2,0.03030303,Normal
26.75,0.2,0.047619048,Normal
0.945945946,0.0025,0.070175439,Normal
1.103448276,0.333333333,0.048387097,Normal
1.250625,0.041666667,0.444444444,Normal
0.324979689,0.001265823,0.282142857,Normal
1.5,0.003225806,1.033333333,Normal
0.846153846,0.084033613,0.85,Normal
1.333333333,0.014285714,0.010769231,Normal
0.944444444,0.001666667,0.103448276,Normal
1.1875,0.028985507,0.425925926,Normal
0.331229298,0.001666667,0.214285714,Normal
2,0.0025,1.302931596,Normal
0.77,0.000769231,0.863213811,Normal
0.972222222,0.002444988,0.070517241,Normal
2,0.0025,2,Normal
0.77,0.005384615,0.928571429,Normal
0.972222222,0.003333333,0.051724138,Normal
0.333377775,0.002,0.185185185,Normal
1,0.00019996,0.505151515,Normal
0.945945946,0.003333333,0.052631579,Normal
1.1875,0.028985507,0.425925926,Normal
0.331229298,0.001666667,0.214285714,Normal
